Year,State,Votes_Cast
1996,New Jersey,3105110
1996,New Mexico,579763
1996,New York,6439129
1996,North Carolina,
1996,North Dakota,271850
1996,Ohio,4638108
1996,Oklahoma,1218248
1996,Oregon,1399180
1996,Pennsylvania,
1996,Rhode Island,
1996,South Carolina,1203486
1996,South Dakota,329316
1996,Tennessee,
1996,Texas,
1996,Utah,691016
1996,Vermont,261469
1996,Virginia,2468229
1996,Washington,2293895
1996,West Virginia,653331
1996,Wisconsin,
1996,Wyoming,215844
1994,Alabama,
1994,Alaska,216668
1994,Arizona,1153724
1994,Arkansas,
1994,California,8900593
1994,Colorado,1173130
1994,Connecticut,1163829
1994,Delaware,201560
1994,District of Columbia,186316
1994,Florida,4305340
1994,Georgia,
1994,Hawaii,377011
1994,Idaho,419330
1994,Illinois,3219122
1994,Indiana,1609481
1994,Iowa,1022372
1994,Kansas,836251
1994,Kentucky,827541
1994,Louisiana,893758
1994,Maine,
1994,Maryland,1437450
1994,Massachusetts,2232186
1994,Michigan,3177740
1994,Minnesota,1794618
1994,Mississippi,621096
1994,Missouri,
1994,Montana,359455
1994,Nebraska,593654
1994,Nevada,386582
1994,New Hampshire,319443
1994,New Jersey,2131328
1994,New Mexico,485709
1994,New York,5325323
1994,North Carolina,
1994,North Dakota,240430
1994,Ohio,3540954
1994,Oklahoma,1002363
1994,Oregon,1254265
1994,Pennsylvania,
1994,Rhode Island,
1994,South Carolina,951901
1994,South Dakota,318090
1994,Tennessee,
1994,Texas,
1994,Utah,532737
1994,Vermont,216715
1994,Virginia,
1994,Washington,1733471
1994,West Virginia,439551
1994,Wisconsin,
1994,Wyoming,204025
1992,Alabama,
1992,Alaska,261427
1992,Arizona,1516276
1992,Arkansas,
1992,California,11374565
1992,Colorado,1597166
1992,Connecticut,1645609
1992,Delaware,290836
1992,District of Columbia,231445
1992,Florida,5438612
1992,Georgia,
1992,Hawaii,382882
1992,Idaho,491725
1992,Illinois,5164357
1992,Indiana,2347912
1992,Iowa,1360856
1992,Kansas,1161044
1992,Kentucky,
1992,Louisiana,1799596
1992,Maine,
1992,Maryland,1999486
1992,Massachusetts,2822962
1992,Michigan,4341909
1992,Minnesota,2355796
1992,Mississippi,1008019
1992,Missouri,
1992,Montana,417564
1992,Nebraska,744548
1992,Nevada,513387
1992,New Hampshire,545197
1992,New Jersey,3348312
1992,New Mexico,590901
1992,New York,7068630
1992,North Carolina,
1992,North Dakota,315199
1992,Ohio,5043094
1992,Oklahoma,1455635
1992,Oregon,1498959
1992,Pennsylvania,
1992,Rhode Island,
1992,South Carolina,1234712
1992,South Dakota,
1992,Tennessee,
1992,Texas,
1992,Utah,784988
